page_url,domain,url_matched_for_gallery_page,url_matched_for_page_with_gallery,number_of_images_by_img_src,number_of_images_by_a_href,has_match,total_img_elements_found
https://fotky.sme.sk/fotka/58210/zrkadlenie-oltedalu-iii,fotky.sme.sk,True,False,0,0,True,65
https://www.jenzeny.cz/moda/saty-na-leto-2013-se-kterymi-neslapnete-vedle,www.jenzeny.cz,False,False,2,0,True,36
https://www.kafe.cz/moda/moda-prozijte-babi-leto-stylove-34075.html,www.kafe.cz,False,False,0,12,True,41
https://www.lifee.cz/trendy/milenky-hakove-krize-lida-baarova-kvuli-lasce-ke-goebbelsovi-odmitla-ameriku_65068.html,www.lifee.cz,False,False,0,59,True,60
https://www.modernibyt.cz/rubriky/navstevy/kompletni-rekonstrukce-mezonetoveho-bytu_5399.html,www.modernibyt.cz,False,True,37,16,True,43
http://www.fotografovani.cz/cz/photo-contest/gallery/2008/,www.fotografovani.cz,True,False,0,0,True,71
https://lepsija.cz/posts/,lepsija.cz,False,False,40,0,True,81
https://www.extra.cz/celebrity-oslavovaly-den-otcu-ktera-z-nich-se-pochlubila-nejkrasnejsi-fotkou,www.extra.cz,False,False,0,44,True,78
https://www.frekvence1.cz/tag/hit-tip,www.frekvence1.cz,False,False,28,1,True,108
https://www.blesk.cz/clanek/celebrity-karlovy-vary/611659/geislerova-ve-varech-rekla-co-je-v-jejim-zivote-nejstalejsi-vec-a-rypla-si-do-prezidenta.html,www.blesk.cz,False,False,0,422,True,459
https://www.reflex.cz/clanek/zpravy/67489/sledovali-jsme-zive-oslavy-a-demonstrace-k-vyroci-sametove-revoluce.html,www.reflex.cz,False,False,0,8,True,221
https://www.sport.cz/tenis/wimbledon/clanek/1122838-strycova-si-dala-wimbledon-za-cil-v-londyne-vitezi-sama-nad-sebou.html,www.sport.cz,False,False,5,0,True,92
https://prozeny.blesk.cz/clanek/pro-zeny-trendy-moda/518504/boty-ktere-budou-letos-in-nektere-z-nich-uz-mate-urcite-v-botniku.html,prozeny.blesk.cz,False,False,0,7,True,55
https://www.televizeseznam.cz/video/na-hadry/lake-malawi-se-od-eurovize-neprevlekli-pracharova-s-pujcenou-kabelkou-a-modelka-makarenko-s-holym-zadkem-63920337?zobraz=nabidku,www.televizeseznam.cz,True,False,0,0,True,161
https://emefka.sk/kviz-dokazes-spravne-priradit-farbu-k-logu-znamej-znacky/,emefka.sk,False,False,84,5,True,237
https://www.fashionmagazin.cz,www.fashionmagazin.cz,False,False,56,2,True,109
https://videacesky.cz/video/bo-burnham-jak-to-vidi-buh,videacesky.cz,True,False,0,0,True,101
https://www.recepty.cz/recept/rezy-raffaelo-4828,www.recepty.cz,False,False,0,6,True,741
https://shop.emefka.sk/sk/emefka/?lang=german,shop.emefka.sk,False,False,0,9,True,54
https://www.sme.sk/g/131524/sme-sk-pre-android-telefony-a-tablety?gref=strm_art-6662272&photo=p4344120,www.sme.sk,True,False,0,17,True,8
https://www.vitalia.cz/clanky/test-celozrnneho-peciva/,www.vitalia.cz,False,False,0,15,True,88
https://fotky.sme.sk/fotka/56452/nocna-panorama-nasho-city,fotky.sme.sk,True,False,0,0,True,64
https://www.jenzeny.cz/redaktorky/2710,www.jenzeny.cz,False,False,1,0,True,36
https://www.kafe.cz/moda/moda-pro-baculky-10-uzitecnych-triku-ktere-vam-pomohou-citit-se-dobre-31098.html,www.kafe.cz,False,False,0,19,True,41
https://www.lifee.cz/cestovani/50-fotek-opustenych-olympijskych-sportovist-z-celeho-sveta_820.html,www.lifee.cz,False,False,0,51,True,54
